iter	Passed	Remaining
883	6353	496758
884	6360	496741
885	6367	496702
886	6374	496682
887	6382	496741
888	6390	496777
889	6398	496871
890	6406	496948
891	6415	497021
892	6423	497113
893	6431	497190
894	6440	497263
895	6447	497265
896	6455	497293
897	6462	497300
898	6469	497266
899	6476	497254
900	6483	497245
901	6490	497234
902	6498	497229
903	6505	497200
904	6511	497155
905	6518	497138
906	6526	497141
907	6533	497141
908	6539	497079
909	6546	497036
910	6553	497035
911	6562	497113
912	6569	497132
913	6577	497175
914	6584	497161
915	6591	497103
916	6598	497114
917	6605	497059
918	6612	497045
919	6619	497028
920	6626	496983
921	6633	496986
922	6640	496992
923	6647	496947
924	6654	496927
925	6661	496915
926	6668	496922
927	6676	496912
928	6682	496844
929	6689	496785
930	6696	496771
931	6703	496753
932	6710	496744
933	6716	496689
934	6723	496671
935	6730	496626
936	6737	496589
937	6744	496543
938	6750	496509
939	6757	496461
940	6764	496475
941	6771	496434
942	6778	496378
943	6785	496345
944	6792	496349
945	6799	496330
946	6806	496280
947	6813	496260
948	6819	496235
949	6826	496180
950	6833	496131
951	6839	496069
952	6846	496049
953	6853	496034
954	6860	495972
955	6866	495925
956	6873	495879
957	6880	495849
958	6887	495818
959	6894	495841
960	6902	495859
961	6909	495840
962	6915	495793
963	6922	495764
964	6929	495713
965	6936	495697
966	6943	495688
967	6951	495721
968	6957	495679
969	6964	495651
970	6972	495661
971	6979	495674
972	6986	495640
973	6993	495639
974	7000	495619
975	7007	495609
976	7014	495588
977	7022	495594
978	7029	495598
979	7037	495616
980	7043	495569
981	7051	495574
982	7057	495530
983	7064	495486
984	7071	495456
985	7078	495450
986	7085	495400
987	7091	495372
988	7098	495352
989	7106	495340
990	7113	495329
991	7120	495331
992	7127	495305
993	7134	495302
994	7142	495338
995	7149	495356
996	7156	495316
997	7163	495273
998	7170	495275
999	7177	495234
1000	7184	495237
1001	7191	495218
1002	7199	495239
1003	7205	495200
1004	7212	495156
1005	7219	495113
1006	7226	495092
1007	7233	495072
1008	7240	495074
1009	7247	495056
1010	7254	495027
1011	7260	494973
1012	7267	494949
1013	7275	494948
1014	7281	494908
1015	7288	494872
1016	7295	494867
1017	7302	494829
1018	7308	494770
1019	7315	494705
1020	7321	494656
1021	7328	494636
1022	7335	494611
1023	7343	494626
1024	7350	494613
1025	7357	494588
1026	7364	494577
1027	7370	494518
1028	7377	494467
1029	7383	494437
1030	7391	494444
1031	7399	494516
1032	7409	494669
1033	7419	494872
1034	7427	494903
1035	7433	494851
1036	7440	494837
1037	7447	494814
1038	7454	494771
1039	7461	494762
1040	7468	494760
1041	7475	494730
1042	7483	494738
1043	7490	494714
1044	7497	494695
1045	7503	494641
1046	7510	494637
1047	7517	494578
1048	7524	494561
1049	7530	494529
1050	7537	494490
1051	7544	494436
1052	7550	494400
1053	7557	494379
1054	7564	494359
1055	7571	494340
1056	7578	494321
1057	7585	494311
1058	7592	494287
1059	7599	494264
1060	7606	494209
1061	7613	494228
1062	7620	494189
1063	7627	494156
1064	7633	494120
1065	7640	494081
1066	7647	494064
1067	7654	494017
1068	7660	493986
1069	7668	493978
1070	7675	493994
1071	7682	493960
1072	7689	493932
1073	7696	493925
1074	7703	493918
1075	7710	493903
1076	7717	493899
1077	7724	493852
1078	7730	493797
1079	7737	493766
1080	7744	493759
1081	7751	493714
1082	7758	493710
1083	7765	493717
1084	7772	493674
1085	7778	493622
1086	7785	493569
1087	7792	493552
1088	7799	493542
1089	7806	493551
1090	7813	493526
1091	7820	493512
1092	7827	493465
1093	7834	493440
1094	7840	493395
1095	7848	493395
1096	7854	493349
1097	7862	493378
1098	7869	493364
1099	7875	493310
1100	7882	493280
1101	7889	493276
1102	7897	493273
1103	7903	493243
1104	7911	493238
1105	7917	493205
1106	7925	493221
1107	7932	493211
1108	7939	493209
1109	7946	493188
1110	7952	493134
1111	7959	493086
1112	7965	493033
1113	7972	493014
1114	7979	492958
1115	7985	492923
1116	7992	492862
1117	7998	492810
1118	8005	492766
1119	8012	492750
1120	8019	492725
1121	8025	492698
1122	8032	492650
1123	8039	492619
1124	8046	492607
1125	8053	492587
1126	8060	492595
